date,start_station_name,avgTemp,season,month,value
2022-01-06,Hoboken Ave at Monmouth St,0.49,winter,1,1
2022-01-15,Brunswick & 6th,-0.67,winter,1,1
2022-01-09,Oakland Ave,0.1399999999999999,winter,1,1
2022-01-23,Oakland Ave,-0.0699999999999999,winter,1,1
2022-01-26,Oakland Ave,-0.2299999999999999,winter,1,1
2022-01-20,Madison St & 1 St,0.51,winter,1,1
2022-01-23,9 St HBLR - Jackson St & 8 St,-0.0699999999999999,winter,1,1
2022-01-27,Paulus Hook,-0.42,winter,1,1
2022-01-01,Hoboken Terminal - Hudson St & Hudson Pl,1.16,winter,1,1
2022-01-10,Newport Pkwy,0.16,winter,1,1
2022-01-06,Clinton St & Newark St,0.49,winter,1,1
2022-01-17,Newport Pkwy,0.39,winter,1,1
2022-01-25,Brunswick & 6th,0.36,winter,1,1
2022-01-19,Clinton St & Newark St,0.32,winter,1,1
2022-01-20,Oakland Ave,0.51,winter,1,1
2022-01-08,Oakland Ave,-0.25,winter,1,1
2022-01-21,Oakland Ave,-0.6,winter,1,1
2022-01-16,Harborside,-0.8,winter,1,1
2022-01-15,Baldwin at Montgomery,-0.67,winter,1,1
2022-01-28,Grand St,0.01,winter,1,1
2022-01-13,Harborside,0.4,winter,1,1
2022-01-04,Paulus Hook,-0.27,winter,1,1
2022-01-02,Warren St,1.14,winter,1,1
2022-01-19,Harborside,0.32,winter,1,1
2022-01-21,Harborside,-0.6,winter,1,1
2022-01-11,Warren St,-0.54,winter,1,1
2022-01-06,Newport Pkwy,0.49,winter,1,1
2022-01-15,Harborside,-0.67,winter,1,1
2022-01-03,Harborside,0.1399999999999999,winter,1,1
2022-01-12,Harborside,-0.19,winter,1,1
2022-01-26,Harborside,-0.2299999999999999,winter,1,1
2022-01-28,Brunswick & 6th,0.01,winter,1,1
2022-01-31,Washington St,-0.3399999999999999,winter,1,1
2022-01-19,Brunswick & 6th,0.32,winter,1,1
2022-01-26,Harborside,-0.2299999999999999,winter,1,1
2022-01-19,Harborside,0.32,winter,1,1
2022-01-24,Warren St,-0.02,winter,1,1
2022-01-11,Brunswick & 6th,-0.54,winter,1,1
2022-01-12,Brunswick & 6th,-0.19,winter,1,1
2022-01-06,Hoboken Terminal - Hudson St & Hudson Pl,0.49,winter,1,1
2022-01-19,Clinton St & Newark St,0.32,winter,1,1
2022-01-09,Manila & 1st,0.1399999999999999,winter,1,1
2022-01-25,City Hall,0.36,winter,1,1
2022-01-27,Newport Pkwy,-0.42,winter,1,1
2022-01-18,Newport Pkwy,0.18,winter,1,1
2022-01-02,Warren St,1.14,winter,1,1
2022-01-25,Liberty Light Rail,0.36,winter,1,1
2022-01-05,City Hall,0.32,winter,1,1
2022-01-10,Liberty Light Rail,0.16,winter,1,1
2022-01-10,Liberty Light Rail,0.16,winter,1,1
2022-01-08,City Hall,-0.25,winter,1,1
2022-01-13,Liberty Light Rail,0.4,winter,1,1
2022-01-06,Liberty Light Rail,0.49,winter,1,1
2022-01-08,City Hall,-0.25,winter,1,1
2022-01-09,City Hall,0.1399999999999999,winter,1,1
2022-01-01,Harborside,1.16,winter,1,1
2022-01-16,Baldwin at Montgomery,-0.8,winter,1,1
2022-01-04,Liberty Light Rail,-0.27,winter,1,1
2022-01-06,Liberty Light Rail,0.49,winter,1,1
2022-01-27,City Hall,-0.42,winter,1,1
2022-01-14,Columbus Dr at Exchange Pl,0.48,winter,1,1
2022-01-26,Columbus Dr at Exchange Pl,-0.2299999999999999,winter,1,1
2022-01-19,Oakland Ave,0.32,winter,1,1
2022-01-12,Hoboken Ave at Monmouth St,-0.19,winter,1,1
2022-01-12,Hoboken Ave at Monmouth St,-0.19,winter,1,1
2022-01-16,Hoboken Ave at Monmouth St,-0.8,winter,1,1
2022-01-21,Hoboken Ave at Monmouth St,-0.6,winter,1,1
2022-01-23,Hoboken Ave at Monmouth St,-0.0699999999999999,winter,1,1
2022-01-22,Hoboken Ave at Monmouth St,-0.5900000000000001,winter,1,1
2022-01-03,Harborside,0.1399999999999999,winter,1,1
2022-01-06,Harborside,0.49,winter,1,1
2022-01-24,Columbus Dr at Exchange Pl,-0.02,winter,1,1
2022-01-12,Columbus Dr at Exchange Pl,-0.19,winter,1,1
2022-01-03,Columbus Dr at Exchange Pl,0.1399999999999999,winter,1,1
2022-01-28,Columbus Dr at Exchange Pl,0.01,winter,1,1
2022-01-26,Columbus Dr at Exchange Pl,-0.2299999999999999,winter,1,1
2022-01-28,Columbus Dr at Exchange Pl,0.01,winter,1,1
2022-01-31,Hoboken Ave at Monmouth St,-0.3399999999999999,winter,1,1
2022-01-10,Hoboken Ave at Monmouth St,0.16,winter,1,1
2022-01-15,Hoboken Ave at Monmouth St,-0.67,winter,1,1
2022-01-16,Hoboken Ave at Monmouth St,-0.8,winter,1,1
2022-01-27,Columbus Dr at Exchange Pl,-0.42,winter,1,1
2022-01-15,Hoboken Ave at Monmouth St,-0.67,winter,1,1
2022-01-02,Hoboken Ave at Monmouth St,1.14,winter,1,1
2022-01-27,Columbus Dr at Exchange Pl,-0.42,winter,1,1
2022-01-01,Columbus Dr at Exchange Pl,1.16,winter,1,1
2022-01-03,Columbus Dr at Exchange Pl,0.1399999999999999,winter,1,1
2022-01-23,Columbus Dr at Exchange Pl,-0.0699999999999999,winter,1,1
2022-01-05,Columbus Dr at Exchange Pl,0.32,winter,1,1
2022-01-16,Madison St & 1 St,-0.8,winter,1,1
2022-01-06,Clinton St & 7 St,0.49,winter,1,1
